,ticket_id,ticket_name,created_date,resolved_date,first_status,last_status,first_assignee,last_assignee,priority,tag,sla_hours
0,1,SD-911_6000001,2024-10-09 22:29:30,2024-10-10 03:29:30,Ожидает обработки,В работу,aplyukhina,mburuhin,P3,oe_rsp,72
1,2,SD-911_6000002,2024-11-02 11:26:01,2024-11-02 23:26:01,Ожидает обработки,В работу,msharova,rkarvenov,P4,oe_posting_problem,168
2,3,SD-911_6000003,2025-01-06 05:48:06,2025-01-10 02:48:06,Ожидает обработки,Выполнено,ymosyagina,ymosyagina,P2,,24
3,4,SD-911_6000004,2024-11-25 01:19:34,2024-11-25 02:19:34,Ожидает обработки,В работу,nikiforovaana,nikiforovaana,P3,oe_rsp,72
4,5,SD-911_6000005,2024-12-05 23:59:56,2024-12-06 09:59:56,Ожидает обработки,В работу,agliskov,msharova,P4,oe_notcorrect,168
5,6,SD-911_6000006,2024-10-24 23:23:05,2024-10-25 01:23:05,Ожидает обработки,В работу,nikiforovaana,nikiforovaana,P1,oe_cargo,2
6,7,SD-911_6000007,2025-01-16 10:48:56,2025-02-16 09:48:56,Ожидает обработки,В работу,nikiforovaana,nikiforovaana,P5,oe_kiz,720
7,8,SD-911_6000008,2024-11-11 09:35:15,2024-11-14 18:35:15,Ожидает обработки,Отменен,asayfuddinov,asayfuddinov,P3,oe_datafix,72
8,9,SD-911_6000009,2025-01-25 15:31:57,2025-01-25 18:31:57,Ожидает обработки,В работу,agliskov,agliskov,P5,oe_notcorrect,720
9,10,SD-911_6000010,2024-12-09 01:30:29,2024-12-12 07:30:29,Ожидает обработки,В работу,nikiforovaana,nikiforovaana,P3,oe_inventory,72
10,11,SD-911_6000011,2024-10-02 01:47:44,2024-10-06 05:47:44,Ожидает обработки,В работу,alesushkov,dnoosan,P3,oe_cargo,72
11,12,SD-911_6000012,2025-01-15 06:18:15,2025-01-22 14:18:15,Ожидает обработки,В работу,msharova,mburuhin,P4,oe_cargo,168
12,13,SD-911_6000013,2024-11-18 08:57:51,2024-11-21 17:57:51,Ожидает обработки,В работу,rkarvenov,dnoosan,P3,oe_returns,72
13,14,SD-911_6000014,2024-11-16 09:10:52,2024-11-16 12:10:52,Ожидает обработки,В работу,ymosyagina,ymosyagina,P3,oe_returns,72
14,15,SD-911_6000015,2024-11-04 01:44:26,2024-11-05 17:44:26,Ожидает обработки,Выполнено,rkarvenov,rkarvenov,P1,oe_cargo,2
15,16,SD-911_6000016,2024-10-23 01:40:40,2024-10-23 04:40:40,Ожидает обработки,В работу,agliskov,agliskov,P2,oe_posting_problem,24
16,17,SD-911_6000017,2025-01-13 15:27:16,2025-01-13 19:27:16,Ожидает обработки,Отменен,aplyukhina,aplyukhina,P2,oe_rsp,24
17,18,SD-911_6000018,2024-12-31 14:37:51,2024-12-31 16:37:51,Ожидает обработки,В работу,alesushkov,msharova,P3,oe_move_fresh_to_fresh,72
18,19,SD-911_6000019,2024-11-23 08:33:53,2024-11-23 11:33:53,Ожидает обработки,В работу,nikiforovaana,nikiforovaana,P2,oe_datafix,24
19,20,SD-911_6000020,2024-10-09 10:13:54,2024-10-13 11:13:54,Ожидает обработки,В работу,alesushkov,agliskov,P3,oe_returns,72
20,21,SD-911_6000021,2024-11-07 03:56:19,2024-11-07 08:56:19,Ожидает обработки,В работу,mburuhin,mburuhin,P3,oe_returns,72
21,22,SD-911_6000022,2024-12-07 20:17:34,2024-12-07 23:17:34,Ожидает обработки,Отменен,mburuhin,mburuhin,P3,oe_returns,72
22,23,SD-911_6000023,2024-10-11 01:03:36,2024-10-11 06:03:36,Ожидает обработки,В работу,ymosyagina,ymosyagina,P3,oe_consig,72
23,24,SD-911_6000024,2025-01-10 03:54:26,2025-01-10 13:54:26,Ожидает обработки,Отменен,aplyukhina,aplyukhina,P4,oe_datafix,168
24,25,SD-911_6000025,2024-11-02 18:38:00,2024-11-03 04:38:00,Ожидает обработки,В работу,mburuhin,mburuhin,P4,oe_posting_problem,168
25,26,SD-911_6000026,2025-01-27 16:03:26,2025-01-27 21:03:26,Ожидает обработки,В работу,nikiforovaana,nikiforovaana,P4,oe_returns,168
26,27,SD-911_6000027,2024-11-26 19:08:37,2024-11-26 20:08:37,Ожидает обработки,В работу,ymosyagina,ymosyagina,P1,oe_notcorrect,2
27,28,SD-911_6000028,2024-10-02 05:53:28,2024-10-02 09:53:28,Ожидает обработки,В работу,nikiforovaana,nikiforovaana,P3,oe_returns,72
28,29,SD-911_6000029,2024-12-03 00:13:40,2024-12-10 05:13:40,Ожидает обработки,В работу,msharova,msharova,P4,oe_datafix,168
29,30,SD-911_6000030,2024-10-31 09:28:50,2024-10-31 14:28:50,Ожидает обработки,В работу,mburuhin,mburuhin,P3,oe_move_fresh_to_fresh,72
30,31,SD-911_6000031,2025-01-21 12:08:35,2025-01-21 14:08:35,Ожидает обработки,В работу,nikiforovaana,nikiforovaana,P4,oe_posting_problem,168
31,32,SD-911_6000032,2024-12-13 02:53:07,2024-12-13 06:53:07,Ожидает обработки,В работу,asayfuddinov,aplyukhina,P4,oe_pldcs,168
32,33,SD-911_6000033,2024-11-25 12:22:27,2024-11-28 08:22:27,Ожидает обработки,Отменен,agliskov,agliskov,P3,oe_returns,72
33,34,SD-911_6000034,2025-01-21 15:42:15,2025-01-24 16:42:15,Ожидает обработки,Выполнено,aplyukhina,ymosyagina,P3,oe_synk,72
34,35,SD-911_6000035,2025-01-12 14:10:40,2025-01-12 19:10:40,Ожидает обработки,В работу,rkarvenov,rkarvenov,P5,oe_posting_problem,720
35,36,SD-911_6000036,2025-01-07 14:58:12,2025-01-16 08:58:12,Ожидает обработки,В работу,asayfuddinov,nikiforovaana,P4,oe_cargo,168
36,37,SD-911_6000037,2024-12-11 14:19:53,2024-12-11 16:19:53,Ожидает обработки,В работу,agliskov,mburuhin,P3,oe_returns,72
37,38,SD-911_6000038,2024-11-13 04:28:03,2024-11-18 11:28:03,Ожидает обработки,В работу,ymosyagina,rkarvenov,P3,oe_returns,72
38,39,SD-911_6000039,2024-11-26 00:13:22,2024-11-26 03:13:22,Ожидает обработки,В работу,asayfuddinov,mburuhin,P2,oe_inventory,24
39,40,SD-911_6000040,2024-12-20 11:11:25,2024-12-20 13:11:25,Ожидает обработки,Отменен,dnoosan,dnoosan,P2,oe_posting_problem,24
40,41,SD-911_6000041,2025-01-22 04:29:28,2025-01-22 12:29:28,Ожидает обработки,В работу,msharova,msharova,P3,oe_returns,72
41,42,SD-911_6000042,2024-10-18 09:38:08,2024-10-20 12:38:08,Ожидает обработки,В работу,ymosyagina,dnoosan,P3,oe_synk,72
42,43,SD-911_6000043,2024-12-19 08:04:30,2024-12-19 16:04:30,Ожидает обработки,Отменен,nikiforovaana,nikiforovaana,P3,oe_posting_pushing,72
43,44,SD-911_6000044,2024-11-13 03:28:11,2024-11-20 01:28:11,Ожидает обработки,Отменен,mburuhin,aplyukhina,P3,oe_notcorrect,72
44,45,SD-911_6000045,2024-12-22 06:09:43,2024-12-25 06:09:43,Ожидает обработки,Отменен,rkarvenov,rkarvenov,P2,oe_posting_problem,24
