ticket_id,status,assignee,changed_date
1,Ожидает обработки,dnoosan,2024-11-28 20:20:59
1,В работе,dnoosan,2024-11-29 00:41:31
1,Ожидается ответ пользователя,nikiforovaana,2024-11-29 06:53:07
1,В работе,asayfuddinov,2024-11-29 16:18:50
1,Выполнено,dnoosan,2024-11-29 19:47:48
2,Ожидает обработки,mburuhin,2024-12-07 21:27:59
2,В работе,mburuhin,2024-12-08 06:32:06
2,Ожидается ответ пользователя,mburuhin,2024-12-08 18:37:03
2,В разработке,mburuhin,2024-12-08 22:03:33
2,Отменен,mburuhin,2024-12-09 03:20:43
3,Ожидает обработки,rkarvenov,2025-01-12 23:31:50
3,В работе,rkarvenov,2025-01-13 05:40:01
3,В работе,nikiforovaana,2025-01-13 09:20:26
3,Ожидается ответ пользователя,rkarvenov,2025-01-13 21:53:12
3,В разработке,rkarvenov,2025-01-14 10:28:43
3,Отменен,mburuhin,2025-01-14 18:24:55
4,Ожидает обработки,rkarvenov,2024-10-10 19:21:08
4,В работе,nikiforovaana,2024-10-11 07:39:04
4,Ожидается ответ пользователя,rkarvenov,2024-10-11 16:45:40
4,Выполнено,rkarvenov,2024-10-11 22:31:55
5,Ожидает обработки,asayfuddinov,2025-02-11 21:50:41
5,В работе,asayfuddinov,2025-02-12 07:15:15
5,В работе,alesushkov,2025-02-12 15:02:42
5,Ожидается ответ пользователя,agliskov,2025-02-12 20:31:30
5,Ожидается ответ пользователя,asayfuddinov,2025-02-13 07:15:24
5,Ожидается ответ пользователя,asayfuddinov,2025-02-13 10:35:21
5,Отменен,asayfuddinov,2025-02-13 14:08:19
6,Ожидает обработки,mburuhin,2025-02-06 18:43:08
6,В работе,aplyukhina,2025-02-06 23:59:26
6,В разработке,mburuhin,2025-02-07 03:12:05
6,На согласовании,mburuhin,2025-02-07 14:08:53
6,На согласовании,alesushkov,2025-02-07 20:13:13
6,На согласовании,rkarvenov,2025-02-08 03:04:19
6,Выполнено,mburuhin,2025-02-08 12:20:33
7,Ожидает обработки,agliskov,2024-10-25 12:15:13
7,В работе,agliskov,2024-10-25 18:17:06
7,Ожидается ответ пользователя,agliskov,2024-10-26 07:14:11
7,Выполнено,agliskov,2024-10-26 12:24:32
8,Ожидает обработки,rkarvenov,2024-12-10 04:36:26
8,В работе,rkarvenov,2024-12-10 10:08:12
8,В разработке,agliskov,2024-12-10 17:13:10
8,Выполнено,rkarvenov,2024-12-10 21:15:04
9,Ожидает обработки,dnoosan,2025-02-21 08:12:48
9,В работе,dnoosan,2025-02-21 09:29:43
9,На согласовании,dnoosan,2025-02-21 11:27:58
9,На согласовании,dnoosan,2025-02-21 13:18:20
9,В разработке,dnoosan,2025-02-21 14:00:40
9,Ожидается ответ пользователя,dnoosan,2025-02-21 14:57:25
9,Выполнено,dnoosan,2025-02-21 15:36:59
10,Ожидает обработки,ymosyagina,2024-12-12 22:28:24
10,В работе,rkarvenov,2024-12-13 08:31:08
10,В работе,ymosyagina,2024-12-13 15:30:54
10,Ожидается ответ пользователя,ymosyagina,2024-12-14 01:57:24
10,В разработке,alesushkov,2024-12-14 07:29:12
10,Выполнено,ymosyagina,2024-12-14 11:17:20
10,В работе,ymosyagina,2024-12-14 17:49:03
10,На согласовании,ymosyagina,2024-12-15 00:10:59
10,Отменен,ymosyagina,2024-12-15 08:50:50
11,Ожидает обработки,agliskov,2024-11-21 17:21:23
11,В работе,ymosyagina,2024-11-22 06:53:06
11,На согласовании,agliskov,2024-11-22 13:50:24
11,Выполнено,rkarvenov,2024-11-23 04:00:08
12,Ожидает обработки,rkarvenov,2024-11-06 23:16:31
12,В работе,rkarvenov,2024-11-07 03:39:56
12,В разработке,rkarvenov,2024-11-07 10:11:22
12,Выполнено,alesushkov,2024-11-07 16:56:45
13,Ожидает обработки,mburuhin,2025-01-13 17:26:58
13,В работе,mburuhin,2025-01-13 19:20:02
13,В разработке,mburuhin,2025-01-13 21:35:31
13,Выполнено,mburuhin,2025-01-14 00:40:42
14,Ожидает обработки,ymosyagina,2024-11-01 11:14:39
14,В работе,ymosyagina,2024-11-01 11:52:19
14,В разработке,ymosyagina,2024-11-01 14:05:40
14,В работе,dnoosan,2024-11-01 15:59:04
14,На согласовании,ymosyagina,2024-11-01 17:20:17
14,Выполнено,ymosyagina,2024-11-01 18:11:59
15,Ожидает обработки,mburuhin,2024-11-20 07:39:54
15,В работе,mburuhin,2024-11-20 15:03:14
15,В работе,mburuhin,2024-11-20 21:23:38
15,В разработке,nikiforovaana,2024-11-21 01:14:27
15,В разработке,mburuhin,2024-11-21 04:04:36
15,Выполнено,mburuhin,2024-11-21 07:12:21
16,Ожидает обработки,asayfuddinov,2024-10-10 20:56:12
16,В работе,asayfuddinov,2024-10-11 02:34:10
16,В разработке,msharova,2024-10-11 10:55:58
16,На согласовании,asayfuddinov,2024-10-11 21:37:48
16,На согласовании,asayfuddinov,2024-10-12 06:30:35
16,На согласовании,asayfuddinov,2024-10-12 09:14:28
16,Выполнено,agliskov,2024-10-12 16:50:30
17,Ожидает обработки,mburuhin,2025-01-26 16:33:42
17,В работе,mburuhin,2025-01-27 07:44:37
17,В разработке,mburuhin,2025-01-27 19:51:17
17,Выполнено,mburuhin,2025-01-28 00:52:11
18,Ожидает обработки,aplyukhina,2025-01-12 01:09:03
18,В работе,aplyukhina,2025-01-12 02:35:24
18,На согласовании,agliskov,2025-01-12 03:49:06
18,В работе,aplyukhina,2025-01-12 04:26:21
18,В разработке,ymosyagina,2025-01-12 04:57:43
18,На согласовании,rkarvenov,2025-01-12 05:43:58
18,Выполнено,aplyukhina,2025-01-12 06:39:03
19,Ожидает обработки,asayfuddinov,2024-11-02 10:19:08
19,В работе,asayfuddinov,2024-11-02 15:24:24
19,В разработке,asayfuddinov,2024-11-02 22:17:10
19,Выполнено,asayfuddinov,2024-11-03 03:49:31
20,Ожидает обработки,msharova,2024-11-06 21:45:53
20,В работе,msharova,2024-11-07 01:57:13
20,Ожидается ответ пользователя,msharova,2024-11-07 05:26:48
20,На согласовании,msharova,2024-11-07 18:53:52
20,Выполнено,ymosyagina,2024-11-08 06:44:23
21,Ожидает обработки,msharova,2025-01-20 14:57:29
21,В работе,ymosyagina,2025-01-20 19:40:48
21,На согласовании,msharova,2025-01-21 06:43:32
21,В разработке,mburuhin,2025-01-21 14:01:29
21,В работе,msharova,2025-01-22 01:49:37
21,В разработке,msharova,2025-01-22 13:58:42
21,Отменен,msharova,2025-01-23 02:50:42
22,Ожидает обработки,aplyukhina,2025-02-05 02:50:28
22,В работе,dnoosan,2025-02-05 11:47:12
22,В работе,aplyukhina,2025-02-05 16:30:39
22,Отменен,aplyukhina,2025-02-06 01:21:16
23,Ожидает обработки,msharova,2024-11-14 19:56:15
23,В работе,msharova,2024-11-14 22:09:41
23,На согласовании,msharova,2024-11-15 00:19:12
23,На согласовании,msharova,2024-11-15 01:08:02
23,В работе,aplyukhina,2024-11-15 03:47:45
23,Выполнено,msharova,2024-11-15 06:34:25
24,Ожидает обработки,msharova,2024-10-24 20:38:08
24,В работе,msharova,2024-10-25 06:46:44
24,В работе,msharova,2024-10-25 10:32:45
24,Отменен,msharova,2024-10-25 16:13:06
24,В работе,msharova,2024-10-26 01:08:22
24,На согласовании,rkarvenov,2024-10-26 03:53:09
24,Отменен,ymosyagina,2024-10-26 09:42:14
25,Ожидает обработки,dnoosan,2024-11-19 06:04:47
25,В работе,dnoosan,2024-11-19 18:34:32
25,В работе,mburuhin,2024-11-19 23:16:13
25,Ожидается ответ пользователя,dnoosan,2024-11-20 10:36:17
25,На согласовании,dnoosan,2024-11-20 15:06:19
25,В разработке,dnoosan,2024-11-21 05:42:15
25,Выполнено,dnoosan,2024-11-21 21:03:14
26,Ожидает обработки,asayfuddinov,2025-01-02 09:07:01
26,В работе,asayfuddinov,2025-01-02 13:08:47
26,В разработке,asayfuddinov,2025-01-02 14:36:40
26,Выполнено,asayfuddinov,2025-01-02 18:44:17
27,Ожидает обработки,ymosyagina,2025-02-19 10:31:40
27,В работе,asayfuddinov,2025-02-19 13:52:10
27,Ожидается ответ пользователя,ymosyagina,2025-02-19 15:19:26
27,На согласовании,alesushkov,2025-02-19 16:51:18
27,На согласовании,ymosyagina,2025-02-19 18:55:08
27,На согласовании,msharova,2025-02-19 20:36:02
27,Выполнено,ymosyagina,2025-02-20 01:01:14
28,Ожидает обработки,ymosyagina,2024-12-04 12:19:51
28,В работе,mburuhin,2024-12-04 16:51:07
28,В разработке,rkarvenov,2024-12-04 20:00:00
28,На согласовании,ymosyagina,2024-12-05 00:53:38
28,В разработке,ymosyagina,2024-12-05 04:01:27
28,В разработке,aplyukhina,2024-12-05 07:13:30
28,Отменен,alesushkov,2024-12-05 12:02:00
29,Ожидает обработки,ymosyagina,2024-10-30 12:53:24
29,В работе,ymosyagina,2024-10-30 17:33:48
29,В работе,alesushkov,2024-10-31 06:28:16
29,Ожидается ответ пользователя,ymosyagina,2024-10-31 10:21:44
29,На согласовании,dnoosan,2024-10-31 21:05:07
29,Отменен,ymosyagina,2024-11-01 09:03:32
30,Ожидает обработки,rkarvenov,2024-11-05 23:08:15
30,В работе,rkarvenov,2024-11-05 23:50:17
30,Ожидается ответ пользователя,ymosyagina,2024-11-06 00:50:44
30,В разработке,rkarvenov,2024-11-06 01:42:36
30,Выполнено,rkarvenov,2024-11-06 02:15:11
30,В работе,rkarvenov,2024-11-06 03:05:36
30,В работе,rkarvenov,2024-11-06 03:59:48
30,В разработке,rkarvenov,2024-11-06 04:55:58
30,Отменен,rkarvenov,2024-11-06 05:12:13
31,Ожидает обработки,msharova,2025-01-04 04:51:03
31,В работе,msharova,2025-01-04 11:35:20
31,В работе,msharova,2025-01-04 13:48:12
31,Выполнено,msharova,2025-01-04 21:51:00
32,Ожидает обработки,nikiforovaana,2024-11-24 23:19:51
32,В работе,nikiforovaana,2024-11-25 01:15:03
32,В работе,nikiforovaana,2024-11-25 02:41:14
32,В разработке,nikiforovaana,2024-11-25 05:04:03
32,Ожидается ответ пользователя,nikiforovaana,2024-11-25 06:08:37
32,В разработке,mburuhin,2024-11-25 07:04:01
32,Отменен,nikiforovaana,2024-11-25 08:14:01
33,Ожидает обработки,mburuhin,2024-12-10 10:23:55
33,В работе,mburuhin,2024-12-10 16:49:21
33,Ожидается ответ пользователя,aplyukhina,2024-12-10 21:55:34
33,В работе,mburuhin,2024-12-11 06:19:09
33,Ожидается ответ пользователя,mburuhin,2024-12-11 15:23:38
33,Выполнено,rkarvenov,2024-12-12 00:59:52
34,Ожидает обработки,dnoosan,2024-10-13 21:11:20
34,В работе,dnoosan,2024-10-13 23:48:23
34,На согласовании,rkarvenov,2024-10-14 01:50:17
34,В работе,dnoosan,2024-10-14 04:12:24
34,На согласовании,dnoosan,2024-10-14 06:45:19
34,Выполнено,asayfuddinov,2024-10-14 09:04:18
35,Ожидает обработки,dnoosan,2025-01-08 16:49:14
35,В работе,dnoosan,2025-01-08 19:27:00
35,Ожидается ответ пользователя,dnoosan,2025-01-08 22:17:17
35,Ожидается ответ пользователя,dnoosan,2025-01-09 02:27:53
35,Выполнено,dnoosan,2025-01-09 07:29:10
36,Ожидает обработки,alesushkov,2024-11-12 19:28:10
36,В работе,alesushkov,2024-11-13 02:26:03
36,На согласовании,alesushkov,2024-11-13 16:58:03
36,В работе,alesushkov,2024-11-14 06:05:48
36,В разработке,alesushkov,2024-11-14 11:27:21
36,Отменен,alesushkov,2024-11-14 18:48:10
37,Ожидает обработки,ymosyagina,2024-12-15 06:15:49
37,В работе,mburuhin,2024-12-15 09:53:07
37,Ожидается ответ пользователя,ymosyagina,2024-12-15 14:13:49
37,Ожидается ответ пользователя,msharova,2024-12-15 20:22:34
37,В работе,dnoosan,2024-12-16 00:39:38
37,В работе,mburuhin,2024-12-16 10:03:50
37,Отменен,ymosyagina,2024-12-16 14:25:32
38,Ожидает обработки,ymosyagina,2025-01-01 01:55:49
38,В работе,ymosyagina,2025-01-01 10:20:28
38,В разработке,rkarvenov,2025-01-01 20:56:26
38,В разработке,ymosyagina,2025-01-02 05:21:56
